tenure**2*MonthlyCharges**0,tenure**1*MonthlyCharges**1,tenure**0*MonthlyCharges**2,tenure**3*MonthlyCharges**0,tenure**2*MonthlyCharges**1,tenure**1*MonthlyCharges**2,tenure**0*MonthlyCharges**3,tenure**2*TotalCharges**0,tenure**1*TotalCharges**1,tenure**0*TotalCharges**2,tenure**3*TotalCharges**0,tenure**2*TotalCharges**1,tenure**1*TotalCharges**2,tenure**0*TotalCharges**3,MonthlyCharges**2*TotalCharges**0,MonthlyCharges**1*TotalCharges**1,MonthlyCharges**0*TotalCharges**2,MonthlyCharges**3*TotalCharges**0,MonthlyCharges**2*TotalCharges**1,MonthlyCharges**1*TotalCharges**2,MonthlyCharges**0*TotalCharges**3
841.0,2002.4499999999998,4767.902499999999,24389.0,58071.049999999996,138269.1725,329223.66762499994,841.0,56795.05,3835526.4025000003,24389.0,1647056.4500000002,111230265.67250001,7511686682.976126,4767.902499999999,135230.9725,3835526.4025000003,329223.66762499994,9337698.651124999,264843098.09262502,7511686682.976126
25.0,403.5,6512.490000000001,125.0,2017.5,32562.450000000004,525557.9430000001,25.0,1874.0,140475.04,125.0,9370.0,702375.2000000001,52650044.992000006,6512.490000000001,30246.36,140475.04,525557.9430000001,2440881.2520000003,11336335.728000002,52650044.992000006
4489.0,1373.5,420.25,300763.0,92024.5,28156.75,8615.125,4489.0,95873.65000000001,2047617.9025,300763.0,6423534.550000001,137190399.4675,2930038837.582375,420.25,29334.475000000002,2047617.9025,8615.125,601356.7375,41976167.00125,2930038837.582375
1.0,84.6,7157.159999999999,1.0,84.6,7157.159999999999,605495.7359999999,1.0,84.6,7157.159999999999,1.0,84.6,7157.159999999999,605495.7359999999,7157.159999999999,7157.159999999999,7157.159999999999,605495.7359999999,605495.7359999999,605495.7359999999,605495.7359999999
3364.0,4361.6,5655.040000000001,195112.0,252972.80000000002,327992.32000000007,425259.0080000001,3364.0,249446.40000000002,18496880.64,195112.0,14467891.200000001,1072819077.12,79551384256.51201,5655.040000000001,323420.16000000003,18496880.64,425259.0080000001,24321196.032,1390965424.128,79551384256.51201
324.0,835.1999999999999,2152.96,5832.0,15033.599999999999,38753.28,99897.344,324.0,14623.199999999999,659993.76,5832.0,263217.6,11879887.68,536178930.624,2152.96,37695.36,659993.76,99897.344,1749064.704,30623710.463999998,536178930.624
1.0,79.55,6328.202499999999,1.0,79.55,6328.202499999999,503408.50887499994,1.0,79.55,6328.202499999999,1.0,79.55,6328.202499999999,503408.50887499994,6328.202499999999,6328.202499999999,6328.202499999999,503408.50887499994,503408.50887499994,503408.50887499994,503408.50887499994
9.0,265.04999999999995,7805.722499999999,27.0,795.1499999999999,23417.167499999996,689635.5828749998,9.0,786.1500000000001,68670.2025,27.0,2358.4500000000003,206010.60749999998,17995026.565125,7805.722499999999,23152.1175,68670.2025,689635.5828749998,2045489.5811249998,6067012.390875,17995026.565125
1600.0,3248.0,6593.4400000000005,64000.0,129920.0,263737.60000000003,535387.3280000001,1600.0,131692.0,10839239.290000001,64000.0,5267680.0,433569571.6,35686027514.467,6593.4400000000005,267334.76,10839239.290000001,535387.3280000001,21707582.512000002,880146230.3480002,35686027514.467
1024.0,656.0,420.25,32768.0,20992.0,13448.0,8615.125,1024.0,22297.6,485530.23999999993,32768.0,713523.2,15536967.679999998,338317471.23199993,420.25,14284.4,485530.23999999993,8615.125,292830.2,9953369.919999998,338317471.23199993
5184.0,5652.0,6162.25,373248.0,406944.0,443682.0,483736.625,5184.0,403362.0,31385205.0625,373248.0,29042064.0,2259734764.5,175827765061.39062,6162.25,439776.625,31385205.0625,483736.625,34522465.0625,2463738597.40625,175827765061.39062
1369.0,3170.9,7344.490000000001,50653.0,117323.3,271746.13,629422.7930000001,1369.0,117332.55,10056192.3225,50653.0,4341304.350000001,372079115.9325,31889694283.495876,7344.490000000001,271767.555,10056192.3225,629422.7930000001,23290479.4635,861815682.03825,31889694283.495876
2401.0,4321.8,7779.240000000001,117649.0,211768.2,381182.76,686128.9680000001,2401.0,203813.05,17301024.3025,117649.0,9986839.45,847750190.8224999,71962745535.03362,7779.240000000001,366863.49,17301024.3025,686128.9680000001,32357359.818,1525950343.4805,71962745535.03362
4225.0,7072.0,11837.439999999999,274625.0,459680.0,769433.5999999999,1287913.4719999998,4225.0,460359.25,50161098.0025,274625.0,29923351.25,3260471370.1625,355263468547.8061,11837.439999999999,770570.5599999999,50161098.0025,1287913.4719999998,83838076.92799999,5457527462.672,355263468547.8061
100.0,949.0,9006.01,1000.0,9490.0,90060.1,854670.349,100.0,10488.5,1100086.3224999998,1000.0,104885.0,11000863.224999998,1153825539.3541248,9006.01,99535.86499999999,1100086.3224999998,854670.349,9445953.5885,104398192.00524999,1153825539.3541248
3600.0,6069.0,10231.322500000002,216000.0,364140.0,613879.3500000001,1034898.2708750003,3600.0,364044.0,36813342.76,216000.0,21842640.0,2208800565.6,223361275862.024,10231.322500000002,613717.51,36813342.76,1034898.2708750003,62077526.1365,3723669620.174,223361275862.024
25.0,253.0,2560.36,125.0,1265.0,12801.800000000001,129554.21600000001,25.0,1249.75,62475.002499999995,125.0,6248.75,312375.01249999995,15615626.874874998,2560.36,12647.47,62475.002499999995,129554.21600000001,639961.982,3161235.1265,15615626.874874998
4225.0,1612.0,615.0400000000001,274625.0,104780.0,39977.600000000006,15252.992000000002,4225.0,104061.75,2563040.9025000003,274625.0,6764013.75,166597658.66250002,4103300332.8573756,615.0400000000001,39703.560000000005,2563040.9025000003,15252.992000000002,984648.2880000002,63563414.38200001,4103300332.8573756
900.0,2550.0,7225.0,27000.0,76500.0,216750.0,614125.0,900.0,78727.5,6886688.0625,27000.0,2361825.0,206600641.875,18072391148.015625,7225.0,223061.25,6886688.0625,614125.0,18960206.25,585368485.3125,18072391148.015625
361.0,1697.6499999999999,7983.422499999999,6859.0,32255.35,151685.02749999997,713318.8003749999,361.0,32050.149999999998,2845462.9225,6859.0,608952.85,54063795.527499996,4799869130.819124,7983.422499999999,150720.0475,2845462.9225,713318.8003749999,13466836.244124997,254242112.12537497,4799869130.819124
625.0,1377.5,3036.01,15625.0,34437.5,75900.25,167284.151,625.0,36652.5,2149449.21,15625.0,916312.5,53736230.25,3151307486.7809997,3036.01,80782.11,2149449.21,167284.151,4451094.261,118434651.471,3151307486.7809997
225.0,290.25,374.42250000000007,3375.0,4353.75,5616.3375000000015,7245.075375000002,225.0,4182.75,77757.32250000001,3375.0,62741.25,1166359.8375000001,21682629.379125003,374.42250000000007,5395.7475,77757.32250000001,7245.075375000002,104407.71412500001,1504604.1903750002,21682629.379125003
5041.0,1405.8,392.04,357911.0,99811.8,27834.84,7762.392000000001,5041.0,99133.75,1949514.0625,357911.0,7038496.25,138415498.4375,2722009009.765625,392.04,27645.75,1949514.0625,7762.392000000001,547385.85,38600378.4375,2722009009.765625
1.0,74.6,5565.159999999999,1.0,74.6,5565.159999999999,415160.93599999987,1.0,74.6,5565.159999999999,1.0,74.6,5565.159999999999,415160.93599999987,5565.159999999999,5565.159999999999,5565.159999999999,415160.93599999987,415160.93599999987,415160.93599999987,415160.93599999987
5041.0,1391.6000000000001,384.1600000000001,357911.0,98803.6,27275.360000000004,7529.536000000002,5041.0,98508.95,1925017.5025000002,357911.0,6994135.45,136676242.6775,2670865533.8436255,384.1600000000001,27194.020000000004,1925017.5025000002,7529.536000000002,533002.7920000001,37730343.04900001,2670865533.8436255
2500.0,5252.5,11035.502499999999,125000.0,262625.0,551775.1249999999,1159279.5376249999,2500.0,258165.0,26659666.89,125000.0,12908250.0,1332983344.5,137651858053.137,11035.502499999999,542404.665,26659666.89,1159279.5376249999,56979610.05825,2800598006.7945,137651858053.137
1.0,29.85,891.0225,1.0,29.85,891.0225,26597.021625,1.0,29.85,891.0225,1.0,29.85,891.0225,26597.021625,891.0225,891.0225,891.0225,26597.021625,26597.021625,26597.021625,26597.021625
1.0,89.35,7983.422499999999,1.0,89.35,7983.422499999999,713318.8003749999,1.0,89.35,7983.422499999999,1.0,89.35,7983.422499999999,713318.8003749999,7983.422499999999,7983.422499999999,7983.422499999999,713318.8003749999,713318.8003749999,713318.8003749999,713318.8003749999
4761.0,5892.6,7293.160000000001,328509.0,406589.4,503228.04000000004,622835.8640000001,4761.0,404988.6,34449856.36,328509.0,27944213.4,2377040088.84,202199986919.38397,7293.160000000001,501246.76,34449856.36,622835.8640000001,42806473.304000005,2942017733.144,202199986919.38397
441.0,1372.35,4270.6224999999995,9261.0,28819.35,89683.0725,279085.18037499994,441.0,29912.4,2028915.3600000003,9261.0,628160.4,42607222.56000001,2889987038.784001,4270.6224999999995,93084.54,2028915.3600000003,279085.18037499994,6083074.688999999,132589618.77600001,2889987038.784001
3025.0,3223.0,3433.96,166375.0,177265.0,188867.8,201230.056,3025.0,168773.0,9416305.959999999,166375.0,9282515.0,517896827.79999995,28894876468.855995,3433.96,179819.96,9416305.959999999,201230.056,10537449.656,551795529.2559999,28894876468.855995
441.0,418.95,398.0025,9261.0,8797.949999999999,8358.0525,7940.149875,441.0,8744.4,173388.96,9261.0,183632.4,3641168.1599999997,72199162.94399999,398.0025,8307.179999999998,173388.96,7940.149875,165728.24099999995,3459109.752,72199162.94399999
4900.0,3573.5,2606.1024999999995,343000.0,250145.0,182427.17499999996,133041.53262499996,4900.0,254460.5,13214315.5225,343000.0,17812235.0,925002086.575,48036019071.61588,2606.1024999999995,185574.4075,13214315.5225,133041.53262499996,9473573.502875,674590807.423625,48036019071.61588
4489.0,5071.900000000001,5730.490000000001,300763.0,339817.30000000005,383942.8300000001,433798.09300000005,4489.0,339076.95,25612202.722500004,300763.0,22718155.650000002,1716017582.4075003,129619516148.16415,5730.490000000001,383106.34500000003,25612202.722500004,433798.09300000005,29001150.316500004,1938843746.0932503,129619516148.16415
676.0,676.0,676.0,17576.0,17576.0,17576.0,17576.0,676.0,17785.3,467924.4024999999,17576.0,462417.8,12166034.464999998,320083687.5301249,676.0,17785.3,467924.4024999999,17576.0,462417.8,12166034.464999998,320083687.5301249
25.0,103.25,426.42249999999996,125.0,516.25,2132.1124999999997,8805.624624999999,25.0,467.75,8751.602499999999,125.0,2338.75,43758.0125,818712.4138749999,426.42249999999996,1931.8075,8751.602499999999,8805.624624999999,39891.824875,180720.59162499997,818712.4138749999
225.0,1123.5,5610.010000000001,3375.0,16852.5,84150.15000000002,420189.7490000001,225.0,16608.75,1226002.5625,3375.0,249131.25,18390038.4375,1357491337.328125,5610.010000000001,82933.02500000001,1226002.5625,420189.7490000001,6211683.572500001,91827591.93125,1357491337.328125
1849.0,3897.9500000000003,8217.4225,79507.0,167611.85,353349.16750000004,744909.3496250001,1849.0,166938.9,15072253.290000001,79507.0,7178372.7,648106891.47,58515008947.767006,8217.4225,351930.49500000005,15072253.290000001,744909.3496250001,31902499.37175001,1366299760.7385,58515008947.767006
2500.0,3482.5000000000005,4851.1225,125000.0,174125.00000000003,242556.12500000003,337880.68212500005,2500.0,172107.5,11848396.6225,125000.0,8605375.0,592419831.125,40783958434.138374,4851.1225,239745.74750000003,11848396.6225,337880.68212500005,16698291.313375004,825240824.7571251,40783958434.138374
529.0,1825.05,6296.422499999999,12167.0,41976.15,144817.71749999997,499621.1253749999,529.0,42211.9,3368326.09,12167.0,970873.7000000001,77471500.07,6181888872.976999,6296.422499999999,145631.055,3368326.09,499621.1253749999,11555824.214249998,267276675.24149996,6181888872.976999
5184.0,7639.2,11257.21,373248.0,550022.4,810519.1199999999,1194389.981,5184.0,543499.2000000001,56981361.96000001,373248.0,39131942.400000006,4102658061.120001,430129508891.2561,11257.21,800906.46,56981361.96000001,1194389.981,84976175.40599999,6045722503.956,430129508891.2561
64.0,559.6,4893.0025000000005,512.0,4476.8,39144.020000000004,342265.52487500006,64.0,4501.6,316631.29000000004,512.0,36012.8,2533050.3200000003,178168426.88300005,4893.0025000000005,39360.865000000005,316631.29000000004,342265.52487500006,2753292.5067500006,22148358.735500004,178168426.88300005
1681.0,4206.599999999999,10526.759999999998,68921.0,172470.59999999998,431597.1599999999,1080045.576,1681.0,172747.35,17752318.222500004,68921.0,7082641.350000001,727845047.1225002,74796729982.7704,10526.759999999998,432289.71,17752318.222500004,1080045.576,44352924.246,1821387849.6285002,74796729982.7704
64.0,560.8,4914.009999999999,512.0,4486.4,39312.079999999994,344472.1009999999,64.0,4410.8,303986.8225,512.0,35286.4,2431894.58,167603134.585375,4914.009999999999,38649.635,303986.8225,344472.1009999999,2709339.4135,21309476.25725,167603134.585375
5184.0,8467.199999999999,13829.759999999998,373248.0,609638.3999999999,995742.7199999999,1626379.7759999998,5184.0,598240.7999999999,69037819.21,373248.0,43073337.599999994,4970722983.12,573628336033.9689,13829.759999999998,977126.6399999999,69037819.21,1626379.7759999998,114910092.86399998,8118847539.095999,573628336033.9689
576.0,483.59999999999997,406.0224999999999,13824.0,11606.4,9744.539999999997,8181.353374999998,576.0,10964.400000000001,208711.92250000002,13824.0,263145.60000000003,5009086.140000001,95350041.794125,406.0224999999999,9205.5275,208711.92250000002,8181.353374999998,185491.37912499998,4205545.238375,95350041.794125
1369.0,2778.7,5640.009999999999,50653.0,102811.9,208680.36999999997,423564.75099999993,1369.0,98375.6,7069217.440000001,50653.0,3639897.2,261561045.28000006,18795635329.472004,5640.009999999999,199675.88,7069217.440000001,423564.75099999993,14995658.588,530898229.7440001,18795635329.472004
5184.0,6498.0,8145.0625,373248.0,467856.0,586444.5,735091.890625,5184.0,458600.39999999997,40569893.302499995,373248.0,33019228.799999997,2921032317.7799997,258407906895.60858,8145.0625,574842.8624999999,40569893.302499995,735091.890625,51879568.340624996,3661432870.5506244,258407906895.60858
121.0,981.2,7956.64,1331.0,10793.2,87523.04000000001,709732.2880000001,121.0,10893.3,980694.09,1331.0,119826.29999999999,10787634.99,971181357.3269999,7956.64,88334.76,980694.09,709732.2880000001,7879460.592,87477912.828,971181357.3269999
4096.0,7366.4,13248.009999999998,262144.0,471449.6,847872.6399999999,1524845.9509999997,4096.0,469379.2,53788289.4025,262144.0,30040268.8,3442450521.76,394486003892.40515,13248.009999999998,844149.155,53788289.4025,1524845.9509999997,97161567.7405,6191032110.22775,394486003892.40515
4096.0,5724.8,8001.302500000001,262144.0,366387.2,512083.36000000004,715716.5086250001,4096.0,364329.6,32406264.022499997,262144.0,23317094.4,2074000897.4399998,184477518887.6846,8001.302500000001,509207.5425,32406264.022499997,715716.5086250001,45548614.676625,2898740316.812625,184477518887.6846
49.0,140.35,402.00250000000005,343.0,982.4499999999999,2814.0175000000004,8060.150125000001,49.0,677.6,9370.24,343.0,4743.2,65591.68,907039.232,402.00250000000005,1940.84,9370.24,8060.150125000001,38913.842,187873.312,907039.232
441.0,1891.05,8109.0025,9261.0,39712.049999999996,170289.0525,730215.675125,441.0,39120.9,3470396.41,9261.0,821538.9,72878324.61,6465001472.189,8109.0025,167754.145,3470396.41,730215.675125,15106260.757249998,312509196.7205,6465001472.189
4900.0,3122.0,1989.16,343000.0,218540.0,139241.2,88716.53600000001,4900.0,214070.5,9352281.422500001,343000.0,14984935.0,654659699.575,28600679432.21838,1989.16,136393.49000000002,9352281.422500001,88716.53600000001,6083149.654000001,417111751.44350004,28600679432.21838
4761.0,5464.8,6272.64,328509.0,377071.2,432812.16000000003,496793.08800000005,4761.0,374024.85,29383446.422499996,328509.0,25807714.65,2027457803.1524997,159277378850.1246,6272.64,429315.48,29383446.422499996,496793.08800000005,34001786.016,2327168956.6619997,159277378850.1246
9.0,244.04999999999998,6617.822499999999,27.0,732.15,19853.4675,538359.8603749999,9.0,701.0999999999999,54615.689999999995,27.0,2103.2999999999997,163847.06999999998,12763686.752999999,6617.822499999999,19011.495,54615.689999999995,538359.8603749999,1546585.1182499998,4442986.381499999,12763686.752999999
121.0,381.70000000000005,1204.0900000000001,1331.0,4198.700000000001,13244.990000000002,41781.92300000001,121.0,4219.05,147110.6025,1331.0,46409.55,1618216.6275000002,56424271.588875,1204.0900000000001,13309.185000000001,147110.6025,41781.92300000001,461828.71950000006,5104737.906750001,56424271.588875
5041.0,6901.2,9447.84,357911.0,489985.2,670796.64,918330.0480000001,5041.0,490631.3,47752246.09,357911.0,34834822.3,3390409472.3900003,329982346155.72705,9447.84,671681.16,47752246.09,918330.0480000001,65287408.752000004,4641518319.948001,329982346155.72705
64.0,524.0,4290.25,512.0,4192.0,34322.0,281011.375,64.0,4514.8,318490.92250000004,512.0,36118.4,2547927.3800000004,179740352.11287504,4290.25,36964.925,318490.92250000004,281011.375,2421202.5875000004,20861155.423750002,179740352.11287504
5184.0,4719.599999999999,4296.8025,373248.0,339811.19999999995,309369.77999999997,281655.40387499996,5184.0,346136.39999999997,23111575.502499998,373248.0,24921820.799999997,1664033436.1799998,111107743649.4936,4296.8025,315128.3475,23111575.502499998,281655.40387499996,20656663.178625,1514963774.1888747,111107743649.4936
121.0,863.5,6162.25,1331.0,9498.5,67784.75,483736.625,121.0,9616.2,764225.6400000001,1331.0,105778.20000000001,8406482.040000001,668086054.4880002,6162.25,68624.7,764225.6400000001,483736.625,5387038.95,59991712.74000001,668086054.4880002
1.0,49.3,2430.49,1.0,49.3,2430.49,119823.15699999998,1.0,49.3,2430.49,1.0,49.3,2430.49,119823.15699999998,2430.49,2430.49,2430.49,119823.15699999998,119823.15699999998,119823.15699999998,119823.15699999998
1936.0,3889.6000000000004,7814.560000000001,85184.0,171142.40000000002,343840.6400000001,690807.1040000002,1936.0,172167.6,15310786.41,85184.0,7575374.4,673674602.04,59909576143.689,7814.560000000001,345900.36000000004,15310786.41,690807.1040000002,30577591.824000005,1353473518.644,59909576143.689
144.0,1038.6,7490.902499999999,1728.0,12463.199999999999,89890.82999999999,648337.6113749999,144.0,12802.800000000001,1138275.61,1728.0,153633.6,13659307.32,1214426248.3090003,7490.902499999999,92340.195,1138275.61,648337.6113749999,7992043.87725,98517754.04550001,1214426248.3090003
9.0,74.25,612.5625,27.0,222.75,1837.6875,15160.921875,9.0,200.85000000000002,4482.302500000001,27.0,602.5500000000001,13446.907500000001,300090.15237500006,612.5625,1657.0125,4482.302500000001,15160.921875,41011.059375000004,110936.98687500002,300090.15237500006
2401.0,5350.8,11924.640000000001,117649.0,262189.2,584307.3600000001,1302170.688,2401.0,259232.05,27988861.202499997,117649.0,12702370.45,1371454198.9225,148073670748.7661,11924.640000000001,577717.14,27988861.202499997,1302170.688,63086711.688,3056383643.3129997,148073670748.7661
3721.0,3132.35,2636.8225,226981.0,191073.35,160846.17250000002,135400.83537500002,3721.0,197908.4,10526131.360000001,226981.0,12072412.4,642094012.96,34150980584.384007,2636.8225,166599.94,10526131.360000001,135400.83537500002,8554906.919,540516845.3360001,34150980584.384007
484.0,1851.3000000000002,7081.222500000001,10648.0,40728.600000000006,155786.89500000002,595884.8733750001,484.0,40082.9,3319501.8025,10648.0,881823.8,73029039.655,6047966309.064876,7081.222500000001,153317.09250000003,3319501.8025,595884.8733750001,12901633.333875002,279336076.68037504,6047966309.064876
3136.0,4550.0,6601.5625,175616.0,254800.0,369687.5,536376.953125,3136.0,258742.39999999997,21348096.159999996,175616.0,14489574.399999999,1195493384.9599998,98636743497.66397,6601.5625,375407.49999999994,21348096.159999996,536376.953125,30501859.374999996,1734532812.9999998,98636743497.66397
1936.0,2206.6,2515.0225,85184.0,97090.4,110660.99,126128.378375,1936.0,94120.4,4575748.81,85184.0,4141297.5999999996,201332947.64,9787984279.470999,2515.0225,107275.86499999999,4575748.81,126128.378375,5379884.629749999,229473802.82149997,9787984279.470999
2401.0,3655.3999999999996,5565.159999999999,117649.0,179114.59999999998,272692.83999999997,415160.93599999987,2401.0,182297.15,13841004.122499999,117649.0,8932560.35,678209202.0024999,51493379687.14287,5565.159999999999,277538.11,13841004.122499999,415160.93599999987,20704343.005999997,1032538907.5384998,51493379687.14287
2704.0,5460.0,11025.0,140608.0,283920.0,573300.0,1157625.0,2704.0,282196.2,29450700.922500003,140608.0,14674202.4,1531436447.9700003,159824536301.26917,11025.0,569819.25,29450700.922500003,1157625.0,59831021.25,3092323596.8625,159824536301.26917
2116.0,901.6,384.1600000000001,97336.0,41473.6,17671.360000000004,7529.536000000002,2116.0,39155.200000000004,724541.4400000001,97336.0,1801139.2000000002,33328906.240000002,616729673.728,384.1600000000001,16683.52,724541.4400000001,7529.536000000002,326996.992,14201012.224000001,616729673.728
2500.0,5192.5,10784.822499999998,125000.0,259625.0,539241.1249999999,1120003.8166249997,2500.0,250894.99999999997,25179320.409999996,125000.0,12544749.999999998,1258966020.4999998,126347311885.33897,10784.822499999998,521108.9149999999,25179320.409999996,1120003.8166249997,54117160.82274999,2614872424.5784993,126347311885.33897
676.0,1287.0,2450.25,17576.0,33462.0,63706.5,121287.375,676.0,32906.9,1601869.9225000003,17576.0,855579.4,41648617.98500001,2027406667.4121256,2450.25,62649.675,1601869.9225000003,121287.375,3101158.9125,79292561.16375002,2027406667.4121256
100.0,810.0,6561.0,1000.0,8100.0,65610.0,531441.0,100.0,8180.5,669205.8024999999,1000.0,81805.0,6692058.0249999985,547443806.7351248,6561.0,66262.05,669205.8024999999,531441.0,5367226.05,54205670.00249999,547443806.7351248
49.0,269.84999999999997,1486.1024999999997,343.0,1888.9499999999998,10402.717499999999,57289.251374999985,49.0,1960.0,78400.0,343.0,13720.0,548800.0,21952000.0,1486.1024999999997,10794.0,78400.0,57289.251374999985,416108.69999999995,3022320.0,21952000.0
1296.0,2185.2000000000003,3684.4900000000002,46656.0,78667.20000000001,132641.64,223648.54300000003,1296.0,80443.8,4993213.702500001,46656.0,2895976.8000000003,179755693.29000002,11157585678.921377,3684.4900000000002,135637.18500000003,4993213.702500001,223648.54300000003,8233177.129500002,303088071.74175006,11157585678.921377
49.0,527.4499999999999,5677.6224999999995,343.0,3692.1499999999996,39743.3575,427808.8553749999,49.0,3952.5499999999997,318829.6225,343.0,27667.85,2231807.3575,180027146.344625,5677.6224999999995,42546.377499999995,318829.6225,427808.8553749999,3205869.544624999,24023812.055375,180027146.344625
225.0,1576.5,11046.009999999998,3375.0,23647.5,165690.14999999997,1160935.6509999998,225.0,23741.25,2505097.5625,3375.0,356118.75,37576463.4375,3964943167.046875,11046.009999999998,166347.025,2505097.5625,1160935.6509999998,17483072.327499997,263285753.81875,3964943167.046875
484.0,1914.0,7569.0,10648.0,42108.0,166518.0,658503.0,484.0,40714.3,3424905.4225000003,10648.0,895714.6000000001,75347919.295,6338301220.149626,7569.0,161006.55000000002,3424905.4225000003,658503.0,14007569.850000001,297966771.75750005,6338301220.149626
3249.0,1125.75,390.0625,185193.0,64167.75,22233.5625,7703.734375,3249.0,72506.84999999999,1618111.2025,185193.0,4132890.4499999997,92232338.54249999,2058318355.1401248,390.0625,25122.9875,1618111.2025,7703.734375,496179.003125,31957696.249374997,2058318355.1401248
49.0,337.40000000000003,2323.2400000000002,343.0,2361.8,16262.680000000002,111980.16800000002,49.0,2382.4500000000003,115838.12250000001,343.0,16677.15,810866.8575,39425504.99287501,2323.2400000000002,16404.870000000003,115838.12250000001,111980.16800000002,790714.7340000002,5583397.504500001,39425504.99287501
676.0,2470.0,9025.0,17576.0,64220.0,234650.0,857375.0,676.0,64927.2,6236007.839999999,17576.0,1688107.2,162136203.83999997,15572558778.047997,9025.0,237233.99999999997,6236007.839999999,857375.0,22537229.999999996,592420744.8,15572558778.047997
2401.0,4931.85,10130.4225,117649.0,241660.65000000002,496390.7025,1019627.0246250001,2401.0,240969.75,24184265.0625,117649.0,11807517.75,1185028988.0625,118932169511.10938,10130.4225,494971.53750000003,24184265.0625,1019627.0246250001,49818885.24937501,2434146278.540625,118932169511.10938
2704.0,4461.599999999999,7361.639999999999,140608.0,232003.19999999998,382805.27999999997,631628.7119999999,2704.0,230531.6,19654148.89,140608.0,11987643.200000001,1022015742.28,87132738274.037,7361.639999999999,380377.14,19654148.89,631628.7119999999,32636358.612,1686325974.762,87132738274.037
9.0,231.0,5929.0,27.0,693.0,17787.0,456533.0,9.0,713.25,56525.0625,27.0,2139.75,169575.1875,13438833.609375,5929.0,18306.75,56525.0625,456533.0,1409619.75,4352429.8125,13438833.609375
